first_name,last_name,institution
Aaron,Sauers,Fermi National Accelerator Laboratory (US)
Aashrita,Mangu,University of California Berkeley (US)
Adam,Aurisano,University of Cincinnati (US)
Adrian,Bevan,University of London (GB)
Alessandra,Forti,University of Manchester (GB)
Alexander,Kurepin,Russian Academy of Sciences (RU)
Alexander,Radovic,College of William and Mary (US)
Alexei,Klimentov,Brookhaven National Laboratory (US)
Amir,Farbin,University of Texas at Arlington (US)
Andrey,Ustyuzhanin,Yandex School of Data Analysis (RU)
Antonio,Limosani,University of Melbourne (AU)
Ariel,Schwartzman,SLAC National Accelerator Laboratory (US)
Attilio,Picazio,University of Massachusetts (US)
Aurelius,Rinkevicius,Cornell University (US)
Ben,Hooberman,University of Illinois at Urbana-Champaign (US)
Benedikt,Hegner,CERN
Bob,Stienen,Radboud Universiteit Nijmegen (NL)
Claire,David,Deutsches Elektronen-Synchrotron (DESY) (DE)
Conor,Fitzpatrick,Ecole Polytechnique Federale de Lausanne (CH)
Daniele,Bonacorsi,"Universita e INFN, Bologna (IT)"
Dario,Menasce,"Universita \& INFN, Milano Bicocca (IT)"
David,Rousseau,Universite de Paris Sud 11 (FR)
Dick,Greenwood,Louisiana Tech University (US)
Dorian,Kcira,California Institute of Technology (US)
Douglas,Davis,Duke University (US)
Dustin,Anderson,California Institute of Technology (US)
Eduardo,Rodrigues,University of Cincinnati (US)
Elias,Coniavitis,Universitaet Freiburg (DE)
Federico,Carminati,CERN
Fernanda,Psihas,Indiana University (US)
Filip,Siroky,Masaryk University (CZ)
Gabriel,Perdue,Fermi National Accelerator Laboratory (US)
Gaurav,Kaul,Intel
Giles,Strong,LIP Lisboa (PT)
Gilles,Louppe,New York University (US)
Gordon,Watts,University of Washington (US)
Graeme,Stewart,University of Glasgow (GB)
Hans,Pabst,Intel
Harvey,Newman,California Institute of Technology (US)
Helge,Meinhard,CERN
Horst,Severini,University of Oklahoma (US)
Ian,Stockdale,unlisted
Igor,Lakomov,CERN
Ilija,Vukotic,University of Chicago (US)
Jamal,Rorie,Rice University (US)
Javier,Duarte,Fermi National Accelerator Laboratory (US)
Jean-Roch,Vlimant,California Institute of Technology (US)
Jim,Kowalkowski,Fermi National Accelerator Laboratory (US)
Jim,Pivarski,Princeton University (US)
Jochen,Gemmler,Karlsruher Institut f{\"u}r Technologie (DE)
Johannes,Junggeburth,Max Planck Institut f{\"u}r Physik (DE)
John,Harvey,CERN
Jonas,Eschle,Universit{\"a}t Z{\"u}rich (CH)
Jonas,Graw,unlisted
Jordi,Garra-Tico,University of Cambridge (GB)
Juan Pedro,Araque Espinosa,LIP Lisboa (PT)
Karen,Tomko,Ohio Supercomputer Center (US)
Kevin,Lannon,University of Notre Dame (US)
Kim,Albertsson,Lulea University of Technology (SE)
Konstantin,Kanishchev,"Universita e INFN, Padova (IT)"
Konstantin,Skazytkin,Russian Academy of Sciences (RU)
Kyle,Cranmer,New York University (US)
Laurent,Basara,"Universita e INFN, Padova (IT)"
Lindsey,Gray,Fermi National Accelerator Laboratory (US)
Lorenzo,Moneta,CERN
Louis,Capps,unlisted
Lukas,Heinrich,New York University (US)
Luke,Kreczko,University of Bristol (GB)
Maria,Girone,unlisted
Mario,Campanelli,University of London (GB)
Mario,Lassnig,CERN
Mark,Neubauer,University of Illinois at Urbana-Champaign (US)
Martin,Erdmann,unlisted
Martin,Vala,Technical University of Kosice (Slovakia)
Matthew,Feickert,Southern Methodist University (US)
Mauro,Verzetti,University of Rochester (US)
Meghan,Kane,"SoundCloud, formerly Massachusetts Institute of Technology (US)"
Michael,Andrews,Carnegie-Mellon University (US)
Michael,Kagan,SLAC National Accelerator Laboratory (US)
Michael,Williams,Massachusetts Institute of Technology (US)
Michela,Paganini,Yale University (US)
Michele,Floris,CERN
Mike,Sokoloff,University of Cincinnati (US)
Narain,Meenakshi,Brown University (US)
Nicolas,K{\"o}hler,Max-Planck-Institut fur Physik (DE)
Nuno,Filipe Castro,LIP-Lisbon (PT)
Omar,Zapata,OProject and University of Antioquia (CO)
Paolo,Calafiura,Lawrence Berkeley National Lab (US)
Paul,Glaysher,Deutsches Elektronen-Synchrotron (DESY) (DE)
Paul,Seyfert,CERN
Pere,Mato,CERN
Piero,Altoe,NVidia
Prosper,Harrison,Florida State University (US)
Przemysław,Karpiński,CERN
Rob,Kutschke,Fermi National Accelerator Laboratory (US)
Ryan,Reece,"University of California, Santa Cruz (US)"
Savannah,Thais,Yale University (US)
Sean-Jiun,Wang,University of Florida (US)
Sergei,Gleyzer,University of Florida (US)
Seth,Moortgat,Vrije Universiteit Brussel (BE)
Sofia,Vallecorsa,Gangneung-Wonju National University (KR)
Stefan,Wunsch,Karlsruher Institut f{\"u}r Technologie (DE)
Stefano,Carrazza,CERN
Steven,Schramm,Universit{\'e} de Gen{\`e}ve (CH)
Stuart,Geman,Brown University (US)
Taylor,Childers,Argonne National Laboratory (US)
Thomas,Keck,Karlsruher Institut f{\"u}r Technologie (DE)
Tobias,Golling,Universit{\'e} de Gen{\`e}ve (CH)
Tom,Hacker,unlisted
Uzziel,Perez,unlisted
Upfal,Eli,Brown University (US)
Valentin,Kuznetsov,Cornell University (US)
Vladimir,Vava Gligorov,Centre National de la Recherche Scientifique (FR)
Wahid,Bhimji,unlisted
Wenjing,Wu,Chinese Academy of Sciences (CN)
Xavier,Vilasís-Cardona,University of Barcelona (ES)
Zahari,Kassabov,University of Milan (IT)
